time,id,location
2023-03-01 06:59:00,901,entrance
2023-03-01 06:59:00,535,entrance
2023-03-01 06:59:00,952,entrance
2023-03-01 07:00:00,535,dairy
2023-03-01 07:00:00,619,entrance
2023-03-01 07:00:00,1141,entrance
2023-03-01 07:00:00,952,fruit
2023-03-01 07:00:00,901,fruit
2023-03-01 07:01:00,901,checkout
2023-03-01 07:01:00,535,checkout
2023-03-01 07:01:00,1141,spices
2023-03-01 07:01:00,1496,entrance
2023-03-01 07:01:00,952,dairy
2023-03-01 07:01:00,619,spices
2023-03-01 07:02:00,1443,entrance
2023-03-01 07:02:00,1141,checkout
2023-03-01 07:02:00,952,drinks
2023-03-01 07:02:00,619,dairy
2023-03-01 07:02:00,1496,dairy
2023-03-01 07:02:00,1421,entrance
2023-03-01 07:03:00,619,dairy
2023-03-01 07:03:00,715,entrance
2023-03-01 07:03:00,1496,dairy
2023-03-01 07:03:00,1040,entrance
2023-03-01 07:03:00,1443,dairy
2023-03-01 07:03:00,1424,entrance
2023-03-01 07:03:00,952,drinks
2023-03-01 07:03:00,1421,fruit
2023-03-01 07:03:00,1335,entrance
2023-03-01 07:04:00,619,dairy
2023-03-01 07:04:00,1040,dairy
2023-03-01 07:04:00,1443,spices
2023-03-01 07:04:00,1424,drinks
2023-03-01 07:04:00,952,checkout
2023-03-01 07:04:00,1496,checkout
2023-03-01 07:04:00,715,fruit
2023-03-01 07:04:00,1335,fruit
2023-03-01 07:04:00,1421,fruit
2023-03-01 07:05:00,1421,fruit
2023-03-01 07:05:00,1241,entrance
2023-03-01 07:05:00,1443,dairy
2023-03-01 07:05:00,1424,drinks
2023-03-01 07:05:00,1040,dairy
2023-03-01 07:05:00,715,fruit
2023-03-01 07:05:00,1335,checkout
2023-03-01 07:05:00,619,dairy
2023-03-01 07:06:00,1285,entrance
2023-03-01 07:06:00,548,entrance
2023-03-01 07:06:00,619,dairy
2023-03-01 07:06:00,1424,fruit
2023-03-01 07:06:00,382,entrance
2023-03-01 07:06:00,715,fruit
2023-03-01 07:06:00,1421,fruit
2023-03-01 07:06:00,1443,drinks
2023-03-01 07:06:00,1241,drinks
2023-03-01 07:06:00,1040,dairy
2023-03-01 07:07:00,548,drinks
2023-03-01 07:07:00,715,fruit
2023-03-01 07:07:00,1424,fruit
2023-03-01 07:07:00,1124,entrance
2023-03-01 07:07:00,1040,fruit
2023-03-01 07:07:00,382,spices
2023-03-01 07:07:00,1241,drinks
2023-03-01 07:07:00,1285,drinks
2023-03-01 07:07:00,1421,checkout
2023-03-01 07:07:00,619,dairy
2023-03-01 07:07:00,1443,drinks
2023-03-01 07:08:00,715,fruit
2023-03-01 07:08:00,619,dairy
2023-03-01 07:08:00,1424,fruit
2023-03-01 07:08:00,1241,drinks
2023-03-01 07:08:00,1040,dairy
2023-03-01 07:08:00,382,spices
2023-03-01 07:08:00,1443,checkout
2023-03-01 07:08:00,1285,drinks
2023-03-01 07:08:00,548,drinks
2023-03-01 07:08:00,802,entrance
2023-03-01 07:08:00,1124,dairy
2023-03-01 07:09:00,1241,fruit
2023-03-01 07:09:00,609,entrance
2023-03-01 07:09:00,382,drinks
2023-03-01 07:09:00,619,drinks
2023-03-01 07:09:00,1040,dairy
2023-03-01 07:09:00,1124,dairy
2023-03-01 07:09:00,548,drinks
2023-03-01 07:09:00,715,checkout
2023-03-01 07:09:00,802,fruit
2023-03-01 07:09:00,1424,dairy
2023-03-01 07:09:00,1285,drinks
2023-03-01 07:10:00,1040,dairy
2023-03-01 07:10:00,802,fruit
2023-03-01 07:10:00,382,drinks
2023-03-01 07:10:00,1424,fruit
2023-03-01 07:10:00,538,entrance
2023-03-01 07:10:00,548,checkout
2023-03-01 07:10:00,1406,entrance
2023-03-01 07:10:00,609,dairy
2023-03-01 07:10:00,1285,drinks
2023-03-01 07:10:00,1241,fruit
2023-03-01 07:10:00,619,drinks
2023-03-01 07:10:00,1124,dairy
2023-03-01 07:11:00,538,spices
2023-03-01 07:11:00,1424,fruit
2023-03-01 07:11:00,546,entrance
2023-03-01 07:11:00,992,entrance
2023-03-01 07:11:00,1040,dairy
2023-03-01 07:11:00,802,checkout
2023-03-01 07:11:00,748,entrance
2023-03-01 07:11:00,1406,drinks
2023-03-01 07:11:00,1241,checkout
2023-03-01 07:11:00,1124,dairy
2023-03-01 07:11:00,619,spices
2023-03-01 07:11:00,609,checkout
2023-03-01 07:11:00,943,entrance
2023-03-01 07:11:00,382,checkout
2023-03-01 07:11:00,1285,drinks
2023-03-01 07:11:00,197,entrance
2023-03-01 07:12:00,619,checkout
2023-03-01 07:12:00,538,spices
2023-03-01 07:12:00,980,entrance
2023-03-01 07:12:00,1124,spices
2023-03-01 07:12:00,1424,fruit
2023-03-01 07:12:00,992,spices
2023-03-01 07:12:00,943,dairy
2023-03-01 07:12:00,197,fruit
2023-03-01 07:12:00,863,entrance
2023-03-01 07:12:00,1406,drinks
2023-03-01 07:12:00,748,dairy
2023-03-01 07:12:00,546,spices
2023-03-01 07:12:00,1040,checkout
2023-03-01 07:12:00,1285,drinks
2023-03-01 07:13:00,980,fruit
2023-03-01 07:13:00,1406,checkout
2023-03-01 07:13:00,1285,fruit
2023-03-01 07:13:00,214,entrance
2023-03-01 07:13:00,943,dairy
2023-03-01 07:13:00,222,entrance
2023-03-01 07:13:00,863,spices
2023-03-01 07:13:00,546,spices
2023-03-01 07:13:00,1124,drinks
2023-03-01 07:13:00,992,spices
2023-03-01 07:13:00,538,spices
2023-03-01 07:13:00,1424,dairy
2023-03-01 07:13:00,197,fruit
2023-03-01 07:13:00,748,checkout
